,output
16,"전략적 의사결정을 위한 문제해결 툴킷
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
17,"[원패스] 전산회계 2급 종합반(필기+실기)
(06640) 서울특별시 서초구 사임당로 64 (서초동 교대벤처타워) 401호 
02-525-0602
sachoi@learningfactory.co.kr
103,950 원
총35시간"
18,"실무에서 인정받는 신의 한 수! 기획/보고의 기술
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
19,"[반도체실무과정] Fab Operation & Production
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
20,"[핵집]전기공사(산업)기사 실기
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
77,220 원
총26시간"
21,"(산대특)프로젝트 기반 AI플랫폼 활용 웹서비스 풀스택개발_프론트앤드,백엔드(양성)
(15494) 경기도 안산시 상록구 광덕1로 375 (이동 강우프라자) 강우빌딩5층 
031-502-2631
jajes01@naver.com
6,884,800 원
총800시간"
22,"피복아크용접 기초(일반용접)
(59643) 전라남도 여수시 화산로 50 (화장동) 1층 좌측, 2~3층 
061-685-8089
nalboruwa@hanmail.net
680,000 원
총80시간"
23,"(신)시설개론
(05392) 서울특별시 강동구 성내동 풍성로 98 3층 
02-6433-5905
kjob3@hanmail.net
121,770 원
총60시간"
24,"핵심만 콕 PLUS! 팀원육성과 팀워크
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
25,"스마트공장과 현장개선 실무
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
26,"[OA실무] 파워포인트를 활용한 실무 프레젠테이션을 위한 PPT 만들기
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
27,"지금 당장 회계기초 공부하라! - Accounting principles
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
50,490 원
총17시간"
28,"쉽게 따라하는 반도체 디지털 IP회로설계 실무과정
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
390,000 원
총8시간"
29,"자동차산업 한눈에 배우기
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
98,010 원
총33시간"
30,"셜록처럼! 하루 30분 관찰력 트레이닝
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
31,"박물관 옆 MBA_세계 유명 박물관의 성공 스토리
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
32,"신뢰받는 중간관리자의 리더십 기본역량
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
33,"[통섭인재를 위한 역량의 재발견 1] 박재희 교수의 춘추고사와 리더십 역량
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
34,"비즈니스 라이팅, 단번에 사로잡는 보고서 작성법
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
35,"[원패스] 전산회계 1급 종합반(필기+실기)
(14118) 경기도 안양시 동안구 엘에스로 122 (호계동 호계 데시앙플렉스) 611호 
031-340-4111
cbk590@hanmail.net
124,740 원
총42시간"
36,"사전 문제해결에 의한 제품개발(APQP)
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
87,780 원
총21시간"
37,"[원패스] 컴퓨터그래픽스운용기능사 올인원 (필기+실기)
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
160,380 원
총54시간"
38,"모두가 함께 잘 사는 주거서비스 인사이트
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
87,780 원
총21시간"
39,"메타버스 3D 패션 아이템 만들기 [마블러스 디자이너]
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
285,000 원
총43시간"
40,"[혼합]『HTML5&CSS3』UI/UX웹퍼블리셔 프론트엔드(웹표준,반응형)
(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원 
02-722-2111
darker75@gmail.com
318,200 원
총56시간"
41,"매장판매직 역량 강화 스킬업
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
87,780 원
총21시간"
42,"디저트베이커리카페실무( 쿠키,머핀,에그타르트,소금빵 등)
(14542) 경기도 부천시 송내대로265번길 23 6층 일부 
032-219-4300
koreaeducation.bc@gmail.com
467,200 원
총54시간"
43,"만화로 보는 회계튜토리얼-재무제표의 이해
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
50,490 원
총17시간"
44,"[원패스] 사회복지사 1급 필기시험 대비 단과반(사회복지 실천)
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
234,630 원
총79시간"
45,"투자의 정석-대체투자
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
47,520 원
총16시간"
46,"한번에 끝내는 영상기획, 영상제작, 영상편집 과정(프리미어)
(52694) 경상남도 진주시 남강로 475 (신안동) 7층 
02-1522-5060
miz@dreamcampus.co.kr
62,370 원
총21시간"
47,"4차 산업시대의 성공적인 비즈니스를 위한 사물인터넷
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
87,780 원
총21시간"
48,"OA실무(컴퓨터활용능력2급(실기)+ITQ 엑셀,파워포인트,한글 자격증)
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
87,780 원
총21시간"
49,"일식조리자격증실기반
(07803) 서울특별시 강서구 공항대로 271 (마곡동 이천이프라자) 8층 
02-6738-4200
askherr@naver.com
430,000 원
총40시간"
50,"ITQ자격증(한글+엑셀+파워포인트)취득과정
(42268) 대구광역시 수성구 달구벌대로 3179 3층 
053-795-1010
dhoa11@naver.com
540,000 원
총90시간"
51,"핵심만 콕 PLUS! 무역 계약 및 통관, 운송
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
50,490 원
총17시간"
52,"캠브리지 잉글리시 Business Benchmark 초급 2
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
74,250 원
총25시간"
53,"의료서비스 실전 직무교육
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
54,"귀여운 이모티콘 제작하기(카카오톡,라인,포토샵) B
(03780) 서울특별시 서대문구 신촌로 141 (대현동 위고인 호스텔) 1층 101호, 2층 201호, 202호, 203호, 4층 401호, 403호 
02-364-0008
dbsaudsh@nate.com
224,640 원
총36시간"
55,"데이터 분석 ABC
(06252) 서울특별시 강남구 강남대로 324 (역삼동 역삼디오슈페리움) 2층 
070-7743-5882
sr.lee@modulabs.co.kr
150,000 원
총10시간"
56,"[오피스 2013] 오피스를 사용한 문서 작업의 모든 것
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
71,280 원
총24시간"
57,"마케팅을 위한 영상편집(광고,영상마케팅,크리에이터)
(03780) 서울특별시 서대문구 신촌로 141 (대현동 위고인 호스텔) 1층 101호, 2층 201호, 202호, 203호, 4층 401호, 403호 
02-364-0008
dbsaudsh@nate.com
224,640 원
총36시간"
58,"웨딩&파티 공간장식 플라워스타일 과정
(16456) 경기도 수원시 팔달구 향교로47번길 2 (매산로2가) 2층 일부, 4층 일부 (매산로2가, 한림빌딩) 
031-547-9585
flowerschool@coqueli.co.kr
578,800 원
총60시간"
59,"한식조리기능사 취득과정(이론+실기)
(50629) 경상남도 양산시 양산역1길 24 (중부동 영동프라자) 7층 703호 
055-363-3100
hanjh5033@hanmail.net
501,600 원
총66시간"
60,"[핵집]전기기능사(필기)
(06755) 서울특별시 서초구 바우뫼로20길 8 다산빌딩 2층 204호,205호(양재동) 
02-6956-4130
oncampus00@gmail.com
225,720 원
총76시간"
61,"(2024)한식조리기능사자격취득과정(속성반)
(55081) 전라북도 전주시 완산구 용머리로 62 (효자동1가 국민은행효자동지점) 4층전부, 5층일부 
063-284-6262
amy3003@naver.com
516,800 원
총68시간"
62,"AI기반 예측 분석 시스템개발
(55081) 전라북도 전주시 완산구 용머리로 62 (효자동1가 국민은행효자동지점) 4층전부, 5층일부 
063-284-6262
amy3003@naver.com
516,800 원
총68시간"
63,"취업성공의 필수 전산세무1급자격증(재무회계 등, 법인조정) B
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
1,049,600 원
총160시간"
64,"구글웨이! 구글의 조직모델 혁신과 경영전략
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
68,310 원
총23시간"
65,"[Marketing Insight] 지금 당장! 디지털 마케팅 완전 실무
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
53,460 원
총18시간"
66,"바로 알고 바로 쓰는 의료와 법 길잡이
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
62,370 원
총21시간"
67,"방송인 이숙영의 소통 붐붐! 비즈니스 커뮤니케이션
(48443) 부산광역시 남구 수영로 269 (대연동 기아자동차부산지역본부) ,605호 
051-896-4525
acastar@acastar.co.kr
87,780 원
총21시간"
68,"전기산업기사 필기2(전기자기학, 전력공학)
(47331) 부산광역시 부산진구 대학로 3 601호 
070-4821-5101
kiedu@kiedu.co.kr
100,980 원
총34시간"
69,"굴착기, 지게차운전기능사(이론+실기) 주간반
(540853) 전라남도 순천시 해룡면 복성리 278 
061-721-4422
kd5jin@hanmail.net
1,306,800 원
총180시간"
70,"[원패스] 전산세무 2급 종합반(필기+실기) (2023)
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
145,530 원
총49시간"
71,"인공지능 기술과 산업별 실무적용 기법
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
129,360 원
총21시간"
72,"스마트 팀장의 리더십 매뉴얼 15가지
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
73,"(초,중급)전산회계1급+전산세무2급자격취득반(케이렙+더존)
(02490) 서울특별시 동대문구 왕산로 225 (청량리동 미주상가) A동502호 
02-966-8400
d8400@hanmail.net
1,377,600 원
총210시간"
74,"일잘러를 위한 IT 프로젝트
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
75,"세무의 끝판왕 전산세무1급 자격증 B
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
393,600 원
총60시간"
76,"스마트워크 시대! ON 정보 보호 가이드
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
190,960 원
총31시간"
77,"NEW 노사가 함께 배우는 노동법 이야기
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
98,010 원
총33시간"
78,"[회계스타] 개그맨 김승혜의 난생처음 재무회계
(48443) 부산광역시 남구 수영로 269 (대연동 기아자동차부산지역본부) ,605호 
051-896-4525
acastar@acastar.co.kr
60,000 원
총17시간"
79,"금융데이터 분석 서비스 개발자 과정
(08390) 서울특별시 구로구 디지털로26길 111 (구로동 제이앤케이디지털타워) 303호 
02-581-2293
info@korea-hrd.co.kr
9,147,840 원
총960시간"
80,"자바스크립트(프런트엔드, 백엔드)웹프로그래밍
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
397,200 원
총60시간"
81,"20년 차 현업 PO가 직접 알려주는 PM/PO를 위한 챗GPT 활용법
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
100,000 원
총10시간"
82,"컴퓨터활용능력 1급 자격증 취득(실기)
(05718) 서울특별시 송파구 중대로 109 (가락동 대동빌딩) 801호 일부 
02-401-5660
spezen5660@naver.com
234,000 원
총39시간"
83,"핵심인재 선발을 위한 면접관 양성 실무
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
84,"스마트 사원이 알아야 할 알기쉬운 재무지식 100가지
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
85,"Change Tomorrow! 4차산업기술 BIG5!
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
87,780 원
총21시간"
86,"시간을 줄이고 업무가 풀리는 파워포인트 2013
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
87,"의료 질 향상을 위한 의료정보관리
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
83,600 원
총20시간"
88,"만화로 배우는 알기쉬운 경영기초-관리회계
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
50,490 원
총17시간"
89,"I Love Excel 2013
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
90,"바로 활용하는 병원행정실무와 병원의 미래
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
142,120 원
총34시간"
91,"광고홍보 영상콘텐츠제작(프리미어,에프터이펙트,포토샵,일러스트)
(03780) 서울특별시 서대문구 신촌로 141 (대현동 위고인 호스텔) 1층 101호, 2층 201호, 202호, 203호, 4층 401호, 403호 
02-364-0008
dbsaudsh@nate.com
1,872,000 원
총300시간"
92,"손해사정이론
(05392) 서울특별시 강동구 성내동 풍성로 98 3층 
02-6433-5905
kjob3@hanmail.net
136,620 원
총46시간"
93,"Good Morning, 행복한 병원을 위한 고객 만족 서비스 - 병원편
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
92,070 원
총31시간"
94,"1%의 핵심인재를 내 사람으로 만드는 조조 리더십
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
62,370 원
총21시간"
95,"100년 기업의 변화경영
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
59,400 원
총20시간"
96,"디저트 메뉴 실습(케이크)
(01834) 서울특별시 노원구 공릉로 187 건설빌딩 5층 
02-951-0187
nowonywca@job365.or.kr
278,000 원
총30시간"
97,"미래를 위한 수업, 코칭이 답이다
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
71,060 원
총17시간"
98,"[원패스] 직업상담사 2급 필기 2(직업정보론+노동관계법규)
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
95,040 원
총32시간"
99,"스마트워크 시대! ON 정보 보호 가이드
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
129,580 원
총31시간"
100,"스마트워크 시대! ON 정보 보호 가이드
(48443) 부산광역시 남구 수영로 269 (대연동 기아자동차부산지역본부) ,605호 
051-896-4525
acastar@acastar.co.kr
200,000 원
총31시간"
101,"[오단기 2010~2019] 야근없는 직장생활을 위한 공대녀의 실전 엑셀-종합편
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
74,250 원
총25시간"
102,"전산회계1급(기초포함)
(42641) 대구광역시 달서구 달구벌대로 1657 (감삼동) 4층 
053-628-0911
happykd@naver.com
393,600 원
총60시간"
103,"일잘러를 위한 IT 프로젝트
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
71,060 원
총17시간"
104,"현장 프로세스를 이해해야 고객만족 품질관리가 보인다!
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
56,430 원
총19시간"
105,"콕콕 정교수 전산회계 1급
(06640) 서울특별시 서초구 사임당로 64 (서초동 교대벤처타워) 401호 
02-525-0602
sachoi@learningfactory.co.kr
210,870 원
총71시간"
106,"No problem! 쉽게 풀어보는 문제해결 마인드와 스킬
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
56,430 원
총19시간"
107,"미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
108,"한번에 합격하는 정보처리기사 필기
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
120,000 원
총21시간"
109,"[원패스] 전산세무 2급 종합반(필기+실기) (2023)
(47879) 부산광역시 동래구 충렬대로 276 청암빌딩 6층 
051-552-0809
usmart_edu@naver.com
145,530 원
총49시간"
110,"드론 기초기술 현장적용 가이드
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
111,"[Adobe CC] 영상 예술 실현의 모든 것, 프리미어 & 애프터이펙트
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
62,370 원
총21시간"
112,"NEW 농산물품질관리사 종합반
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
412,830 원
총139시간"
113,"[어쩌다 직장인] 일을 잘하기 위한 8가지 원리, 일취월장
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
50,490 원
총17시간"
114,"만화로 보는 회계튜토리얼-재무제표의 이해
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
115,"보통 직장인을 위한 비즈니스 역량 18가지
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
62,370 원
총21시간"
116,"[주거복지사] 주거복지개론
(06693) 서울특별시 서초구 방배천로2길 15 (방배동) 오륜빌딩 5층 
02-533-6311
lim.kyoungil@etesys.co.kr
129,580 원
총31시간"
117,"[전사원 UP!] IoT로 시작하는 디지털 융합 혁신 베이스!
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
59,400 원
총20시간"
118,"전기기능사 필기(전기이론, 전기기기, 전기설비)
(08507) 서울특별시 금천구 가산디지털1로 146 (가산동) 1004~1007호 
02-2059-1014
nami@myedu.or.kr
184,140 원
총62시간"
119,"[원패스] 사회복지사 1급 필기시험 대비 단과반(사회복지 기초)
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
204,930 원
총69시간"
120,"실내건축설계 및 실내인테리어를 위한 캐드(CAD)도면작업
(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원 
02-722-2111
darker75@gmail.com
265,980 원
총39시간"
121,"전사원이 바로 쓰는 사무행정 실무
(14222) 경기도 광명시 시청로 7 (철산동) 404호, 405호, 406호 
02-1670-3401
mo905@nayanet.kr
92,070 원
총31시간"
122,"영상편집디자인& 유튜브크리에이팅(프리미어,에펙,유튜브)
(14222) 경기도 광명시 시청로 7 (철산동) 404호, 405호, 406호 
02-1670-3401
mo905@nayanet.kr
92,070 원
총31시간"
123,"만화로 보는 맨큐의 경제학-경제학의 10대 기본원리
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
124,"알기쉬운 세무기초-세무조사의 비밀
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
50,490 원
총17시간"
125,"오피스실무(엑셀기초)
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
180,000 원
총30시간"
126,"환자경험관리와 서비스디자인
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
59,400 원
총20시간"
127,"[핵집] 빅데이터분석기사 실기
(14222) 경기도 광명시 시청로 7 (철산동) 404호, 405호, 406호 
02-1670-3401
mo905@nayanet.kr
74,250 원
총25시간"
128,"디지털역량 제고를 위한 웹구조 언어&웹스타일링 언어 기초
(14222) 경기도 광명시 시청로 7 (철산동) 404호, 405호, 406호 
02-1670-3401
mo905@nayanet.kr
225,000 원
총30시간"
129,"[원패스] 직업상담사 2급 필기 1(직업상담학+직업심리학+노동시장론)
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
148,500 원
총50시간"
130,"제과기능사자격취득(실기)
(47295) 부산광역시 부산진구 중앙대로 694 (부전동 쥬디스태화) 7층 
051-911-8800
isw9045@naver.com
340,000 원
총50시간"
131,"[핵집]전기기능사(실기)
(14222) 경기도 광명시 시청로 7 (철산동) 404호, 405호, 406호 
02-1670-3401
mo905@nayanet.kr
50,490 원
총17시간"
132,"행동심리로 꿰뚫어보는 가치투자 - 당신은 이성적 투자가입니까
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
133,"(신)소방설비(산업)기사 전기분야 2차실기반
(05392) 서울특별시 강동구 성내동 풍성로 98 3층 
02-6433-5905
kjob3@hanmail.net
213,180 원
총51시간"
134,"SNS 광고 영상을 위한 프리미어 프로(페이스북, 인스타그램, 유튜브)
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
269,880 원
총39시간"
